"Statistic Label","CensusYear","County","Sex","UNIT","VALUE"
"Population at Each Census","2006","Donegal","Male","Number","73970"
"Population at Each Census","2006","Donegal","Female","Number","73294"
"Population at Each Census","2006","Monaghan","Both sexes","Number","55997"
"Population at Each Census","2006","Monaghan","Male","Number","28583"
"Population at Each Census","2006","Monaghan","Female","Number","27414"
"Population at Each Census","2011","State","Both sexes","Number","4588252"
"Population at Each Census","2011","State","Male","Number","2272699"
"Population at Each Census","2011","State","Female","Number","2315553"
"Population at Each Census","2011","Carlow","Both sexes","Number","54612"
"Population at Each Census","2011","Carlow","Male","Number","27431"
"Population at Each Census","2011","Carlow","Female","Number","27181"
"Population at Each Census","2011","Dublin","Both sexes","Number","1273069"
"Population at Each Census","2011","Dublin","Male","Number","619902"
"Population at Each Census","2011","Dublin","Female","Number","653167"
"Population at Each Census","2011","Kildare","Both sexes","Number","210312"
"Population at Each Census","2011","Kildare","Male","Number","104658"
"Population at Each Census","2011","Kildare","Female","Number","105654"
"Population at Each Census","2011","Kilkenny","Both sexes","Number","95419"
"Population at Each Census","2011","Kilkenny","Male","Number","47788"
"Population at Each Census","2011","Kilkenny","Female","Number","47631"
"Population at Each Census","2011","Laois","Both sexes","Number","80559"
"Population at Each Census","2011","Laois","Male","Number","40587"
"Population at Each Census","2011","Laois","Female","Number","39972"
"Population at Each Census","2011","Longford","Both sexes","Number","39000"
"Population at Each Census","2011","Longford","Male","Number","19649"
"Population at Each Census","2011","Longford","Female","Number","19351"
"Population at Each Census","2011","Louth","Both sexes","Number","122897"
"Population at Each Census","2011","Louth","Male","Number","60763"
"Population at Each Census","2011","Louth","Female","Number","62134"
"Population at Each Census","2011","Meath","Both sexes","Number","184135"
"Population at Each Census","2011","Meath","Male","Number","91910"
"Population at Each Census","2011","Meath","Female","Number","92225"
"Population at Each Census","2011","Offaly","Both sexes","Number","76687"
"Population at Each Census","2011","Offaly","Male","Number","38430"
"Population at Each Census","2011","Offaly","Female","Number","38257"
"Population at Each Census","2011","Westmeath","Both sexes","Number","86164"
"Population at Each Census","2011","Westmeath","Male","Number","42783"
"Population at Each Census","2011","Westmeath","Female","Number","43381"
"Population at Each Census","2011","Wexford","Both sexes","Number","145320"
"Population at Each Census","2011","Wexford","Male","Number","71909"
"Population at Each Census","2011","Wexford","Female","Number","73411"
"Population at Each Census","2011","Wicklow","Both sexes","Number","136640"
"Population at Each Census","2011","Wicklow","Male","Number","67542"
"Population at Each Census","2011","Wicklow","Female","Number","69098"
"Population at Each Census","2011","Clare","Both sexes","Number","117196"
"Population at Each Census","2011","Clare","Male","Number","58298"
"Population at Each Census","2011","Clare","Female","Number","58898"
"Population at Each Census","2011","Cork","Both sexes","Number","519032"
"Population at Each Census","2011","Cork","Male","Number","257470"
"Population at Each Census","2011","Cork","Female","Number","261562"
"Population at Each Census","2011","Kerry","Both sexes","Number","145502"
"Population at Each Census","2011","Kerry","Male","Number","72629"
"Population at Each Census","2011","Kerry","Female","Number","72873"
"Population at Each Census","2011","Limerick","Both sexes","Number","191809"
"Population at Each Census","2011","Limerick","Male","Number","95815"
"Population at Each Census","2011","Limerick","Female","Number","95994"
"Population at Each Census","2011","Tipperary","Both sexes","Number","158754"
"Population at Each Census","2011","Tipperary","Male","Number","79584"
"Population at Each Census","2011","Tipperary","Female","Number","79170"
"Population at Each Census","2011","Waterford","Both sexes","Number","113795"
"Population at Each Census","2011","Waterford","Male","Number","56464"
"Population at Each Census","2011","Waterford","Female","Number","57331"
"Population at Each Census","2011","Galway","Both sexes","Number","250653"
"Population at Each Census","2011","Galway","Male","Number","124758"
"Population at Each Census","2011","Galway","Female","Number","125895"
"Population at Each Census","2011","Leitrim","Both sexes","Number","31798"
"Population at Each Census","2011","Leitrim","Male","Number","16144"
"Population at Each Census","2011","Leitrim","Female","Number","15654"
"Population at Each Census","2011","Mayo","Both sexes","Number","130638"
"Population at Each Census","2011","Mayo","Male","Number","65420"
"Population at Each Census","2011","Mayo","Female","Number","65218"
"Population at Each Census","2011","Roscommon","Both sexes","Number","64065"
"Population at Each Census","2011","Roscommon","Male","Number","32353"
"Population at Each Census","2011","Roscommon","Female","Number","31712"
"Population at Each Census","2011","Sligo","Both sexes","Number","65393"
"Population at Each Census","2011","Sligo","Male","Number","32435"
"Population at Each Census","2011","Sligo","Female","Number","32958"
"Population at Each Census","2011","Cavan","Both sexes","Number","73183"
"Population at Each Census","2011","Cavan","Male","Number","37013"
"Population at Each Census","2011","Cavan","Female","Number","36170"
"Population at Each Census","2011","Donegal","Both sexes","Number","161137"
"Population at Each Census","2011","Donegal","Male","Number","80523"
"Population at Each Census","2011","Donegal","Female","Number","80614"
"Population at Each Census","2011","Monaghan","Both sexes","Number","60483"
"Population at Each Census","2011","Monaghan","Male","Number","30441"
"Population at Each Census","2011","Monaghan","Female","Number","30042"
"Population at Each Census","2016","State","Both sexes","Number","4761865"
"Population at Each Census","2016","State","Male","Number","2354428"
"Population at Each Census","2016","State","Female","Number","2407437"
"Population at Each Census","2016","Carlow","Both sexes","Number","56932"
"Population at Each Census","2016","Carlow","Male","Number","28465"
"Population at Each Census","2016","Carlow","Female","Number","28467"
"Population at Each Census","2016","Dublin","Both sexes","Number","1347359"
"Population at Each Census","2016","Dublin","Male","Number","658371"
"Population at Each Census","2016","Dublin","Female","Number","688988"
"Population at Each Census","2016","Kildare","Both sexes","Number","222504"
"Population at Each Census","2016","Kildare","Male","Number","110546"
"Population at Each Census","2016","Kildare","Female","Number","111958"
"Population at Each Census","2016","Kilkenny","Both sexes","Number","99232"
"Population at Each Census","2016","Kilkenny","Male","Number","49533"
"Population at Each Census","2016","Kilkenny","Female","Number","49699"
"Population at Each Census","2016","Laois","Both sexes","Number","84697"
"Population at Each Census","2016","Laois","Male","Number","42811"
"Population at Each Census","2016","Laois","Female","Number","41886"
"Population at Each Census","2016","Longford","Both sexes","Number","40873"
"Population at Each Census","2016","Longford","Male","Number","20587"
"Population at Each Census","2016","Longford","Female","Number","20286"
"Population at Each Census","2016","Louth","Both sexes","Number","128884"
"Population at Each Census","2016","Louth","Male","Number","63633"
"Population at Each Census","2016","Louth","Female","Number","65251"
"Population at Each Census","2016","Meath","Both sexes","Number","195044"
"Population at Each Census","2016","Meath","Male","Number","96776"
"Population at Each Census","2016","Meath","Female","Number","98268"
"Population at Each Census","2016","Offaly","Both sexes","Number","77961"
"Population at Each Census","2016","Offaly","Male","Number","38838"
"Population at Each Census","2016","Offaly","Female","Number","39123"
"Population at Each Census","2016","Westmeath","Both sexes","Number","88770"
"Population at Each Census","2016","Westmeath","Male","Number","44082"
"Population at Each Census","2016","Westmeath","Female","Number","44688"
"Population at Each Census","2016","Wexford","Both sexes","Number","149722"
"Population at Each Census","2016","Wexford","Male","Number","73722"
"Population at Each Census","2016","Wexford","Female","Number","76000"
"Population at Each Census","2016","Wicklow","Both sexes","Number","142425"
"Population at Each Census","2016","Wicklow","Male","Number","70156"
"Population at Each Census","2016","Wicklow","Female","Number","72269"
"Population at Each Census","2016","Clare","Both sexes","Number","118817"
"Population at Each Census","2016","Clare","Male","Number","58785"
"Population at Each Census","2016","Clare","Female","Number","60032"
"Population at Each Census","2016","Cork","Both sexes","Number","542868"
"Population at Each Census","2016","Cork","Male","Number","268675"
"Population at Each Census","2016","Cork","Female","Number","274193"
"Population at Each Census","2016","Kerry","Both sexes","Number","147707"
"Population at Each Census","2016","Kerry","Male","Number","73055"
"Population at Each Census","2016","Kerry","Female","Number","74652"
"Population at Each Census","2016","Limerick","Both sexes","Number","194899"
"Population at Each Census","2016","Limerick","Male","Number","97340"
"Population at Each Census","2016","Limerick","Female","Number","97559"
"Population at Each Census","2016","Tipperary","Both sexes","Number","159553"
"Population at Each Census","2016","Tipperary","Male","Number","79668"
"Population at Each Census","2016","Tipperary","Female","Number","79885"
"Population at Each Census","2016","Waterford","Both sexes","Number","116176"
"Population at Each Census","2016","Waterford","Male","Number","57651"
"Population at Each Census","2016","Waterford","Female","Number","58525"
"Population at Each Census","2016","Galway","Both sexes","Number","258058"
"Population at Each Census","2016","Galway","Male","Number","127663"
"Population at Each Census","2016","Galway","Female","Number","130395"
"Population at Each Census","2016","Leitrim","Both sexes","Number","32044"
"Population at Each Census","2016","Leitrim","Male","Number","16064"
"Population at Each Census","2016","Leitrim","Female","Number","15980"
"Population at Each Census","2016","Mayo","Both sexes","Number","130507"
"Population at Each Census","2016","Mayo","Male","Number","65047"
"Population at Each Census","2016","Mayo","Female","Number","65460"
"Population at Each Census","2016","Roscommon","Both sexes","Number","64544"
"Population at Each Census","2016","Roscommon","Male","Number","32377"
"Population at Each Census","2016","Roscommon","Female","Number","32167"
"Population at Each Census","2016","Sligo","Both sexes","Number","65535"
"Population at Each Census","2016","Sligo","Male","Number","32365"
"Population at Each Census","2016","Sligo","Female","Number","33170"
"Population at Each Census","2016","Cavan","Both sexes","Number","76176"
"Population at Each Census","2016","Cavan","Male","Number","38330"
"Population at Each Census","2016","Cavan","Female","Number","37846"
"Population at Each Census","2016","Donegal","Both sexes","Number","159192"
"Population at Each Census","2016","Donegal","Male","Number","79022"
"Population at Each Census","2016","Donegal","Female","Number","80170"
"Population at Each Census","2016","Monaghan","Both sexes","Number","61386"
"Population at Each Census","2016","Monaghan","Male","Number","30866"
"Population at Each Census","2016","Monaghan","Female","Number","30520"
"Population at Each Census","2022","State","Both sexes","Number","5149139"
"Population at Each Census","2022","State","Male","Number","2544549"
"Population at Each Census","2022","State","Female","Number","2604590"
"Population at Each Census","2022","Carlow","Both sexes","Number","61968"
"Population at Each Census","2022","Carlow","Male","Number","30822"
"Population at Each Census","2022","Carlow","Female","Number","31146"
"Population at Each Census","2022","Dublin","Both sexes","Number","1458154"
"Population at Each Census","2022","Dublin","Male","Number","713606"
"Population at Each Census","2022","Dublin","Female","Number","744548"
"Population at Each Census","2022","Kildare","Both sexes","Number","247774"
"Population at Each Census","2022","Kildare","Male","Number","123264"
"Population at Each Census","2022","Kildare","Female","Number","124510"
"Population at Each Census","2022","Kilkenny","Both sexes","Number","104160"
"Population at Each Census","2022","Kilkenny","Male","Number","51883"
"Population at Each Census","2022","Kilkenny","Female","Number","52277"
"Population at Each Census","2022","Laois","Both sexes","Number","91877"
"Population at Each Census","2022","Laois","Male","Number","46278"
"Population at Each Census","2022","Laois","Female","Number","45599"
"Population at Each Census","2022","Longford","Both sexes","Number","46751"
"Population at Each Census","2022","Longford","Male","Number","23449"
"Population at Each Census","2022","Longford","Female","Number","23302"
"Population at Each Census","2022","Louth","Both sexes","Number","139703"
"Population at Each Census","2022","Louth","Male","Number","68907"
"Population at Each Census","2022","Louth","Female","Number","70796"
"Population at Each Census","2022","Meath","Both sexes","Number","220826"
"Population at Each Census","2022","Meath","Male","Number","109988"
"Population at Each Census","2022","Meath","Female","Number","110838"
"Population at Each Census","2022","Offaly","Both sexes","Number","83150"
"Population at Each Census","2022","Offaly","Male","Number","41628"
"Population at Each Census","2022","Offaly","Female","Number","41522"
"Population at Each Census","2022","Westmeath","Both sexes","Number","96221"
"Population at Each Census","2022","Westmeath","Male","Number","47721"
"Population at Each Census","2022","Westmeath","Female","Number","48500"
"Population at Each Census","2022","Wexford","Both sexes","Number","163919"
"Population at Each Census","2022","Wexford","Male","Number","80777"
"Population at Each Census","2022","Wexford","Female","Number","83142"
"Population at Each Census","2022","Wicklow","Both sexes","Number","155851"
"Population at Each Census","2022","Wicklow","Male","Number","76564"
"Population at Each Census","2022","Wicklow","Female","Number","79287"
"Population at Each Census","2022","Clare","Both sexes","Number","127938"
"Population at Each Census","2022","Clare","Male","Number","62917"
"Population at Each Census","2022","Clare","Female","Number","65021"
"Population at Each Census","2022","Cork","Both sexes","Number","584156"
"Population at Each Census","2022","Cork","Male","Number","288845"
"Population at Each Census","2022","Cork","Female","Number","295311"
"Population at Each Census","2022","Kerry","Both sexes","Number","156458"
"Population at Each Census","2022","Kerry","Male","Number","77387"
"Population at Each Census","2022","Kerry","Female","Number","79071"
"Population at Each Census","2022","Limerick","Both sexes","Number","209536"
"Population at Each Census","2022","Limerick","Male","Number","104452"
"Population at Each Census","2022","Limerick","Female","Number","105084"
"Population at Each Census","2022","Tipperary","Both sexes","Number","167895"
"Population at Each Census","2022","Tipperary","Male","Number","83639"
"Population at Each Census","2022","Tipperary","Female","Number","84256"
"Population at Each Census","2022","Waterford","Both sexes","Number","127363"
"Population at Each Census","2022","Waterford","Male","Number","63095"
"Population at Each Census","2022","Waterford","Female","Number","64268"
"Population at Each Census","2022","Galway","Both sexes","Number","277737"
"Population at Each Census","2022","Galway","Male","Number","136934"
"Population at Each Census","2022","Galway","Female","Number","140803"
"Population at Each Census","2022","Leitrim","Both sexes","Number","35199"
"Population at Each Census","2022","Leitrim","Male","Number","17553"
"Population at Each Census","2022","Leitrim","Female","Number","17646"
"Population at Each Census","2022","Mayo","Both sexes","Number","137970"
"Population at Each Census","2022","Mayo","Male","Number","68392"
"Population at Each Census","2022","Mayo","Female","Number","69578"
"Population at Each Census","2022","Roscommon","Both sexes","Number","70259"
"Population at Each Census","2022","Roscommon","Male","Number","35170"
"Population at Each Census","2022","Roscommon","Female","Number","35089"
"Population at Each Census","2022","Sligo","Both sexes","Number","70198"
"Population at Each Census","2022","Sligo","Male","Number","34529"
"Population at Each Census","2022","Sligo","Female","Number","35669"
"Population at Each Census","2022","Cavan","Both sexes","Number","81704"
"Population at Each Census","2022","Cavan","Male","Number","41060"
"Population at Each Census","2022","Cavan","Female","Number","40644"
"Population at Each Census","2022","Donegal","Both sexes","Number","167084"
"Population at Each Census","2022","Donegal","Male","Number","82795"
"Population at Each Census","2022","Donegal","Female","Number","84289"
"Population at Each Census","2022","Monaghan","Both sexes","Number","65288"
"Population at Each Census","2022","Monaghan","Male","Number","32894"
"Population at Each Census","2022","Monaghan","Female","Number","32394"
